x,y,q_hat,var,weight,n_hi,n_lo,dt_hi,dt_lo,sigma,t_max
0.679831,0.223253,0.982422,3.37904595e-5,2.959328e4,64,512,0.002500,0.010000,0.700000,6.000000
-1.927758,-0.035171,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.232861,-0.799903,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
0.391772,0.726942,0.933593,1.21321345e-4,8.242505e3,64,512,0.002500,0.010000,0.700000,6.000000
-1.337760,-0.623116,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-0.773122,1.437522,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-0.990182,-1.994287,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.762055,-0.016014,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-1.543029,-0.825385,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-1.691249,0.189814,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.691358,0.354195,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
0.460959,1.082736,0.966798,6.28112906e-5,1.592045e4,64,512,0.002500,0.010000,0.700000,6.000000
-1.639085,0.681745,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.630981,-0.717423,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.874135,0.618368,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-0.282277,0.813601,0.183594,2.93317049e-4,3.409269e3,64,512,0.002500,0.010000,0.700000,6.000000
1.952203,-0.218894,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-0.766817,-1.044940,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
0.068785,-1.094873,0.570360,8.96933212e-4,1.114909e3,64,512,0.002500,0.010000,0.700000,6.000000
-0.179437,-1.005911,0.195313,3.07561090e-4,3.251376e3,64,512,0.002500,0.010000,0.700000,6.000000
-0.634179,0.791261,0.011719,2.26613290e-5,4.412609e4,64,512,0.002500,0.010000,0.700000,6.000000
1.342343,-0.009261,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-1.620240,-0.570250,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-0.077405,-1.977526,0.353516,4.47241650e-4,2.235923e3,64,512,0.002500,0.010000,0.700000,6.000000
-1.066078,-1.580806,0.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.616544,-1.546191,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.929542,0.431402,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.165760,0.727680,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-0.598002,1.283588,0.021485,4.11386897e-5,2.430743e4,64,512,0.002500,0.010000,0.700000,6.000000
1.617783,-0.844957,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-0.330826,-0.350627,0.140625,2.36493029e-4,4.228437e3,64,512,0.002500,0.010000,0.700000,6.000000
1.138324,-0.532105,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
1.351443,0.745145,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
-0.104179,0.872361,0.345703,4.42643148e-4,2.259151e3,64,512,0.002500,0.010000,0.700000,6.000000
0.929699,-0.500671,1.000000,1.00000000e-12,1.000000e6,64,512,0.002500,0.010000,0.700000,6.000000
