sequence_id,step,state_0,state_mean,target,state_std,aleatoric_unc,epistemic_unc,weight
0,0,0.679831,0.223253,0.982422,3.37904595e-5,3.37904595e-5,3.37904595e-5,2.959328e4
1,0,-1.927758,-0.035171,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
2,0,1.232861,-0.799903,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
3,0,0.391772,0.726942,0.933593,1.21321345e-4,1.21321345e-4,1.21321345e-4,8.242505e3
4,0,-1.337760,-0.623116,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
5,0,-0.773122,1.437522,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
6,0,-0.990182,-1.994287,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
7,0,1.762055,-0.016014,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
8,0,-1.543029,-0.825385,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
9,0,-1.691249,0.189814,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
10,0,1.691358,0.354195,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
11,0,0.460959,1.082736,0.966798,6.28112906e-5,6.28112906e-5,6.28112906e-5,1.592045e4
12,0,-1.639085,0.681745,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
13,0,1.630981,-0.717423,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
14,0,1.874135,0.618368,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
15,0,-0.282277,0.813601,0.183594,2.93317049e-4,2.93317049e-4,2.93317049e-4,3.409269e3
16,0,1.952203,-0.218894,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
17,0,-0.766817,-1.044940,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
18,0,0.068785,-1.094873,0.570360,8.96933212e-4,8.96933212e-4,8.96933212e-4,1.114909e3
19,0,-0.179437,-1.005911,0.195313,3.07561090e-4,3.07561090e-4,3.07561090e-4,3.251376e3
20,0,-0.634179,0.791261,0.011719,2.26613290e-5,2.26613290e-5,2.26613290e-5,4.412609e4
21,0,1.342343,-0.009261,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
22,0,-1.620240,-0.570250,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
