sequence_id,step,margin,q_pred,obs_reliability,alpha_entropy,alpha_max,attention_argmax,collapse_temperature,state_mean,state_std,state_q10,state_q90,aleatoric_unc,epistemic_unc,target,calibrator_id
0,0,0.98182,0.727469,0.727469,0.552554,0.831625,22,0.829844,0.223253,3.37905e-05,0.223253,0.223253,3.37905e-05,3.37905e-05,0.982422,identity
1,0,0.992099,0.729502,0.729502,0.547388,0.859007,22,0.829844,-0.035171,1e-12,-0.035171,-0.035171,1e-12,1e-12,1,identity
2,0,0.909874,0.712974,0.712974,0.814509,0.632951,22,0.829844,-0.799903,1e-12,-0.799903,-0.799903,1e-12,1e-12,0.933593,identity
3,0,-0.0060826,0.498479,0.498479,1.8183,0.43936,22,0.829844,0.726942,0.000121321,0.726942,0.726942,0.000121321,0.000121321,0,identity
4,0,0.00829415,0.502074,0.502074,1.9679,0.424066,22,0.829844,-0.623116,1e-12,-0.623116,-0.623116,1e-12,1e-12,0,identity
5,0,9.15604e-05,0.500023,0.500023,1.8859,0.432102,22,0.829844,1.43752,1e-12,1.43752,1.43752,1e-12,1e-12,0,identity
6,0,-0.00814822,0.497963,0.497963,1.7959,0.442459,22,0.829844,-1.99429,1e-12,-1.99429,-1.99429,1e-12,1e-12,0,identity
7,0,0.98814,0.72872,0.72872,0.584282,0.844599,22,0.829844,-0.016014,1e-12,-0.016014,-0.016014,1e-12,1e-12,1,identity
8,0,0.988571,0.728806,0.728806,0.580813,0.846175,22,0.829844,-0.825385,1e-12,-0.825385,-0.825385,1e-12,1e-12,1,identity
9,0,0.986732,0.728442,0.728442,0.595113,0.83943,22,0.829844,0.189814,1e-12,0.189814,0.189814,1e-12,1e-12,1,identity
10,0,0.150969,0.537671,0.537671,2.71692,0.281489,22,0.829844,0.354195,1e-12,0.354195,0.354195,1e-12,1e-12,0.183594,identity
11,0,0.986123,0.728321,0.728321,0.599602,0.837182,22,0.829844,1.08274,6.28113e-05,1.08274,1.08274,6.28113e-05,6.28113e-05,1,identity
12,0,0.00908382,0.502271,0.502271,1.97526,0.423301,22,0.829844,0.681745,1e-12,0.681745,0.681745,1e-12,1e-12,0,identity
13,0,0.253806,0.563113,0.563113,3.08987,0.179694,22,0.829844,-0.717423,1e-12,-0.717423,-0.717423,1e-12,1e-12,0.195313,identity
14,0,0.0198994,0.504975,0.504975,2.06782,0.412978,22,0.829844,0.618368,1e-12,0.618368,0.618368,1e-12,1e-12,0.011719,identity
